random_state,target,r2,Modelo,posicion
1,fun_asv_richness_z,0.0086708771782151,Regresión Individual,2
1,fun_asv_richness_z,-0.00187683886784,RandomForest Multisalida,3
1,fun_asv_richness_z,-0.0180619494141454,Random Forest con RegressorChain,4
1,fun_asv_richness_z,-0.0187533128107255,RF Individual,5
1,fun_asv_richness_z,-0.0262010041410103,MLP Perdida Custom,6
1,fun_asv_richness_z,-0.0789564375987181,XGBoost Multisalida,7
1,fun_asv_richness_z,-0.1628199284327192,XGBoost Individual,8
1,fun_shannon_z,-0.0142979362399371,Random Forest con RegressorChain,1
1,fun_shannon_z,-0.0161081349245613,Regresión Individual,2
1,fun_shannon_z,-0.0233352202244137,RandomForest Multisalida,3
1,fun_shannon_z,-0.0395329009965621,RF Individual,4
1,fun_shannon_z,-0.0544344997975401,XGBoost Multisalida,5
1,fun_shannon_z,-0.1172764766606326,MLP Estandar,6
1,fun_shannon_z,-0.1703015652333186,MLP Perdida Custom,7
1,fun_shannon_z,-0.1836652250832431,XGBoost Individual,8
1,macro_order_richness_z,0.4119198341921603,XGBoost Multisalida,1
1,macro_order_richness_z,0.4055892685348068,Random Forest con RegressorChain,2
1,macro_order_richness_z,0.3233743774724991,MLP Estandar,3
