random_state,earthworm_shannon_z_r2,earthworm_richness_z_r2,Modelo,r2_medio_prioritarios,posicion
480,0.5139341056507152,0.544235494458156,RF Individual,0.5290848000544356,2
480,0.4944445914907388,0.5381862891452613,Random Forest con RegressorChain,0.5163154403180001,3
480,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585,4
480,0.4083598897420495,0.4455735571322904,RandomForest Multisalida,0.42696672343716996,5
480,0.363695808762827,0.4644804972397948,MLP Estandar,0.41408815300131085,6
480,0.2395443154158835,0.2789313433634833,Regresión Individual,0.2592378293896834,7
480,0.1923487824980418,0.3163367597716406,MLP Perdida Custom,0.2543427711348412,8
490,0.5428400798417822,0.5813503997785074,XGBoost Multisalida,0.5620952398101449,1
490,0.5056477231510943,0.5334069353101701,RF Individual,0.5195273292306322,2
490,0.4454248102005688,0.5235215878228254,Random Forest con RegressorChain,0.4844731990116971,3
490,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585,4
490,0.419573429317419,0.4466583881272614,RandomForest Multisalida,0.4331159087223402,5
490,0.4024658224777456,0.4513434915008916,MLP Estandar,0.42690465698931856,6
490,0.3129614869963975,0.4465223764348115,MLP Perdida Custom,0.3797419317156045,7
490,0.2395443154158835,0.2789313433634833,Regresión Individual,0.2592378293896834,8
500,0.544365226088513,0.5878338528845827,XGBoost Multisalida,0.5660995394865478,1
500,0.4939869957129031,0.5237164980948099,RF Individual,0.5088517469038565,2
500,0.4774569227245804,0.5053814219472814,Random Forest con RegressorChain,0.4914191723359309,3
500,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585,4
500,0.4153323895394927,0.4484231336645977,RandomForest Multisalida,0.43187776160204516,5
500,0.386994652096867,0.4452988401323872,MLP Perdida Custom,0.4161467461146271,6
500,0.3432394738449466,0.457561230775004,MLP Estandar,0.4004003523099753,7
500,0.2395443154158835,0.2789313433634833,Regresión Individual,0.2592378293896834,8
510,0.546583732400562,0.6011868464586347,XGBoost Multisalida,0.5738852894295984,1
510,0.5013225025121737,0.5264816597423161,RF Individual,0.5139020811272449,2
510,0.4680545133992865,0.5409530516461737,Random Forest con RegressorChain,0.5045037825227301,3
510,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585,4
510,0.4074149686714555,0.4400455070066942,RandomForest Multisalida,0.4237302378390748,5
510,0.3192826387729031,0.421894901129149,MLP Estandar,0.3705887699510261,6
510,0.2850925563301599,0.3925955104113341,MLP Perdida Custom,0.338844033370747,7
510,0.2395443154158835,0.2789313433634833,Regresión Individual,0.2592378293896834,8
520,0.5428509868896028,0.582517129493244,XGBoost Multisalida,0.5626840581914234,1
520,0.490338195607274,0.553752737231197,RF Individual,0.5220454664192355,2
